iq2,q2_low,q2_high,ixb,xb_low,xb_high,it,t_low,t_high,reliable_phi_bins,overlap_phi_bins,born_sum,radiative_sum,mean_c_rad,median_c_rad,min_c_rad,max_c_rad,mean_delta_c
1,1.5,2.0,3,0.2,0.25,4,0.4,0.6,20,20,197968.0,308596.0,1.0892999946426043,1.1011807482465668,0.9468660887779009,1.2125653807779784,0.014192139546913063
1,1.5,2.0,3,0.2,0.25,5,0.6,1.0,20,20,206753.0,328780.0,1.0796455035789565,1.1085911441264424,0.8377179479266711,1.1814822069530557,0.013670581732629717
1,1.5,2.0,3,0.2,0.25,6,1.0,1.5,20,20,102454.0,163560.0,1.086287906152719,1.1249141545729624,0.794724089887238,1.1947039218454465,0.019462764211817498
1,1.5,2.0,3,0.2,0.25,7,1.5,2.0,20,20,42770.0,66588.0,1.1099238252637535,1.145580282304024,0.876294690159641,1.216129100934464,0.030846999031830503
1,1.5,2.0,4,0.25,0.3,0,0.09,0.15,20,20,85016.0,117916.0,1.2245304987687788,1.2761134753970862,0.9988964486390298,1.3775421095733815,0.02473902758548751
1,1.5,2.0,4,0.25,0.3,1,0.15,0.2,20,20,87694.0,128411.0,1.1484850155588775,1.2138772593286675,0.8279211594577534,1.3066696905899473,0.02276340490130748
1,1.5,2.0,4,0.25,0.3,2,0.2,0.3,20,20,186445.0,277387.0,1.1259430803671557,1.1890217609259774,0.8185223607235083,1.26534514745262,0.015347024024903672
1,1.5,2.0,4,0.25,0.3,3,0.3,0.4,20,20,177047.0,265608.0,1.1168854079204846,1.1624428130028948,0.8494900556913866,1.235579371601447,0.015655912960850445
1,1.5,2.0,4,0.25,0.3,4,0.4,0.6,20,20,283910.0,432704.0,1.1012525905536477,1.123347664416894,0.8818172668350305,1.2263588084162718,0.012146965366597548
1,1.5,2.0,4,0.25,0.3,5,0.6,1.0,20,20,317353.0,497005.0,1.0860541757114803,1.123162764835524,0.8088377313694675,1.231681711403879,0.011215541264197656
1,1.5,2.0,4,0.25,0.3,6,1.0,1.5,20,20,155532.0,254800.0,1.0692942905230267,1.1359694701809073,0.6388449894833846,1.1950164242592514,0.01558130917585212
1,1.5,2.0,4,0.25,0.3,7,1.5,2.0,20,20,60801.0,98854.0,1.0847376577157228,1.154649188965121,0.6680446205336708,1.2199600832372022,0.02523719936983872
1,1.5,2.0,5,0.3,0.38,0,0.09,0.15,20,20,35607.0,38764.0,1.5655450992090345,1.6184610114419147,1.3590191116338521,1.7633454267235877,0.05148514081081838
1,1.5,2.0,5,0.3,0.38,1,0.15,0.2,20,20,119264.0,156848.0,1.2839876689967649,1.3589501500549983,0.9567761442563731,1.4441627301056694,0.022188641338269078
1,1.5,2.0,5,0.3,0.38,2,0.2,0.3,20,20,320848.0,457081.0,1.1696931859226818,1.2782028480534575,0.7589958939696599,1.3457341050378167,0.012254091312007312
1,1.5,2.0,5,0.3,0.38,3,0.3,0.4,20,20,347727.0,500916.0,1.150848608332743,1.2359368157308441,0.729404606959509,1.297311466426303,0.011677835095214096
1,1.5,2.0,5,0.3,0.38,4,0.4,0.6,20,20,633108.0,927653.0,1.1319716105049735,1.1760433626241122,0.7924325464781601,1.2623681026735458,0.008535896413137161
1,1.5,2.0,5,0.3,0.38,5,0.6,1.0,20,20,818830.0,1238099.0,1.1040867486172075,1.1445401342809494,0.8635955087363979,1.2506871276528742,0.007247127872911259
1,1.5,2.0,5,0.3,0.38,6,1.0,1.5,20,20,435064.0,712689.0,1.054785431239814,1.136925713519668,0.5513273810051639,1.2337422098848976,0.009285471718142278
1,1.5,2.0,5,0.3,0.38,7,1.5,2.0,20,20,161710.0,284101.0,1.0253858508175633,1.156388263095986,0.4815501245600976,1.2180164816875758,0.014582272226365925
1,1.5,2.0,6,0.38,0.48,1,0.15,0.2,20,20,6473.0,4786.0,2.3114789941112868,2.390281308703604,1.7968069695792275,2.786318150662326,0.19712871392802134
1,1.5,2.0,6,0.38,0.48,2,0.2,0.3,20,20,207748.0,190901.0,1.826876919832285,2.0002506529021007,1.1909717047770654,2.119983620164152,0.025974788902552153
1,1.5,2.0,6,0.38,0.48,3,0.3,0.4,20,20,464496.0,310428.0,2.4442495681971828,2.625625122108727,1.1045127415569689,3.0776379801570077,0.025418472407949904
